code,baseline_A,baseline_B,baseline_C,baseline_D,baseline_E,occ_industry_pct,occ_agriculture_pct,occ_trade_pct,occ_civilservice_pct,occ_domestic_pct,occ_medicine_pct,rel_protestant_pct,rel_catholic_pct,rel_jewish_other_pct,pop_density_per_km2,pct_youth
PL-TERC-2215,10.8,26.3,35.0,18.2,9.7,13.4,57.2,16.4,7.2,4.5,1.3,25.5,72.8,1.7,100,12.3
WKR-002,1.9,12.9,24.2,47.6,13.4,17.4,53.1,14.0,7.6,6.5,1.4,89.6,8.8,1.5,76,10.4
WKR-001,2.1,15.8,24.7,43.7,13.7,13.7,51.7,17.7,7.4,8.0,1.5,86.5,10.2,3.3,145,12.5
PL-TERC-2262,6.1,12.0,70.8,8.5,2.6,13.6,61.5,13.5,5.6,4.7,1.1,90.5,7.3,2.2,63,11.0
PL-TERC-2208,7.7,17.6,62.0,7.0,5.7,14.1,56.8,14.2,6.5,7.1,1.3,19.5,77.5,3.0,108,11.6
PL-TERC-2261,10.6,25.8,40.0,16.7,6.9,11.2,62.5,14.1,6.2,4.8,1.2,90.9,7.5,1.6,89,14.7
WKR-005,2.0,32.0,1.0,22.0,43.0,54.3,7.9,21.8,7.2,7.4,1.5,81.5,16.3,2.2,10310,28.0
WKR-004,2.5,16.1,24.7,42.7,14.0,13.5,52.6,17.0,7.1,8.2,1.7,92.9,5.4,1.7,119,14.8
WKR-015,8.1,31.7,28.0,24.0,8.2,17.6,53.4,15.0,6.5,5.5,1.9,92.3,6.0,1.8,123,14.3
PL-TERC-2204,11.6,28.2,38.6,15.3,6.3,8.2,64.1,14.0,5.7,6.5,1.5,88.1,8.8,3.0,48,13.8
PL-TERC-3261,7.6,17.3,59.5,10.2,5.4,10.0,59.5,15.3,5.9,7.4,2.0,91.7,6.0,2.3,71,10.0
PL-TERC-2819,6.1,27.7,50.1,8.4,7.7,12.6,62.4,11.1,7.4,5.3,1.2,93.0,4.9,2.2,60,12.5
PL-TERC-2809,7.7,21.3,51.9,14.1,5.0,9.2,65.1,13.2,5.9,5.0,1.5,92.5,5.7,1.8,69,10.8
PL-TERC-2209,7.0,16.0,52.5,16.8,7.7,12.2,59.9,14.8,7.2,4.8,1.1,94.9,3,2.1,56,14.6
WKR-006,4.0,42.0,1.0,28.0,25.0,56.5,8.3,20.6,7.1,5.9,1.6,72.1,26.1,1.7,2492,19.3
PL-TERC-2801,6.6,18.2,52.0,16.0,7.2,8.2,64.5,13.1,7.0,5.8,1.4,87.7,10.4,2.0,77,10.9
PL-TERC-2861,7.0,15.8,59.0,7.8,10.4,24.2,40.5,20.5,8.2,4.9,1.6,8.3,87.9,3.8,198,10.7
WKR-009,1.8,11.5,25.3,46.3,15.1,14.6,55.3,13.7,7.7,7.3,1.5,92.1,5.3,2.6,110,13.5
